INLINE ModularEXPClassTable,Class Multiplier,Class Divisor,Granting Multiplier,Granting Divisor,Sword Multiplier,Sword Divisor,Lance Multiplier,Lance Divisor,Axe Multiplier,Axe Divisor,Bow Multiplier,Bow Divisor,Staff Multiplier,Staff Divisor,Anima Multiplier,Anima Divisor,Light Multiplier,Light Divisor,Dark Multiplier,Dark Divisor
None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ephraim Lord,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eirika Lord,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ephraim Master Lord,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eirika Master Lord,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cavalier,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cavalier (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Paladin,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Paladin (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Armour Knight,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Armour Knight (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
General,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
General (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Thief,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Manakete,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mercenary,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mercenary (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hero,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hero (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Myrmidon,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Myrmidon (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Swordmaster,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Swordmaster (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Assassin,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Assassin (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Archer,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Archer (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sniper,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sniper (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ranger,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ranger (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wyvern Rider,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wyvern Rider (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wyvern Lord,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wyvern Lord (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wyvern Knight,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wyvern Knight (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mage,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
